english	简体中文	pinyin
user-defined type	用户定义类型	yòng hù dìng yì lèi xíng
enumerated type	枚举类型	méi jǔ lèi xíng
pointer	指针	zhǐ zhēn
dereference	解引用	jiě yǐn yòng
composite type	复合类型	fù hé lèi xíng
record	记录	jì lù
set	集合	jí hé
class	类	lèi
object	对象	duì xiàng
attributes	属性	shǔ xìng
methods	方法	fāng fǎ
file organisation	文件组织	wén jiàn zǔ zhī
serial file	串行文件	chuàn xíng wén jiàn
sequential file	顺序文件	shùn xù wén jiàn
random (direct-access) file	随机文件	suí jī wén jiàn
deterministic	确定性	què dìng xìng
sequential access	顺序存取	shùn xù cún qǔ
direct access	直接存取	zhí jiē cún qǔ
hash function	散列函数	sàn liè hán shù
collision	冲突	chōng tū
linear probing	线性探测	xiàn xìng tàn cè
chaining	链接法	liàn jiē fǎ
linked list	链表	liàn biǎo
load factor	装填因子	zhuāng tián yīn zi
floating-point	浮点	fú diǎn
mantissa	尾数	wěi shù
exponent	指数	zhǐ shù
two's complement	补码	bǔ mǎ
normalised	规格化	guī gé huà
rounding errors	舍入误差	shě rù wù chā
fixed-point	定点	dìng diǎn
BCD	二进码十进数	èr jìn mǎ shí jìn shù
