english	简体中文	pinyin
protocol	协议	xié yì
layers	层	céng
modularity	模块化	mó kuài huà
abstraction	抽象	chōu xiàng
protocol suite	协议栈	xié yì zhàn
application layer	应用层	yìng yòng céng
transport layer	传输层	chuán shū céng
port numbers	端口号	duān kǒu hào
TCP	传输控制协议	chuán shū kòng zhì xié yì
connection-oriented	面向连接	miàn xiàng lián jiē
packets	数据包	shù jù bāo
UDP	用户数据报协议	yòng hù shù jù bào xié yì
connectionless	无连接	wú lián jiē
internet layer	网络层	wǎng luò céng
IP address	IP地址	IP dì zhǐ
routers	路由器	lù yóu qì
link layer	链路层	liàn lù céng
MAC addresses	MAC地址	MAC dì zhǐ
CSMA/CD	载波侦听多路访问	zài bō zhēn tīng duō lù fǎng wèn
HTTP	超文本传输协议	chāo wén běn chuán shū xié yì
FTP	文件传输协议	wén jiàn chuán shū xié yì
SMTP	简单邮件传输协议	jiǎn dān yóu jiàn chuán shū xié yì
peer-to-peer	对等网络	duì děng wǎng luò
circuit switching	电路交换	diàn lù jiāo huàn
bandwidth	带宽	dài kuān
packet switching	分组交换	fēn zǔ jiāo huàn
multiplexed	多路复用	duō lù fù yòng
latency	延迟	yán chí
