english	简体中文	pinyin
security	安全	ān quán
unauthorised	未授权	wèi shòu quán
privacy	隐私	yǐn sī
integrity	完整性	wán zhěng xìng
malware	恶意软件	è yì ruǎn jiàn
virus	病毒	bìng dú
worm	蠕虫	rú chóng
networks	网络	wǎng luò
Trojan horse	木马	mù mǎ
spyware	间谍软件	jiàn dié ruǎn jiàn
ransomware	勒索软件	lè suǒ ruǎn jiàn
adware	广告软件	guǎng gào ruǎn jiàn
phishing	网络钓鱼	wǎng luò diào yú
hacking	黑客入侵	hēi kè rù qīn
denial of service	拒绝服务	jù jué fú wù
eavesdropping	窃听	qiè tīng
man-in-the-middle	中间人攻击	zhōng jiān rén gōng jī
social engineering	社会工程	shè huì gōng chéng
encryption	加密	jiā mì
backup	备份	bèi fèn
firewall	防火墙	fáng huǒ qiáng
audit logs	审计日志	shěn jì rì zhì
VPN	虚拟专用网	xū nǐ zhuān yòng wǎng
authentication	身份验证	shēn fèn yàn zhèng
two-factor authentication	双因素认证	shuāng yīn sù rèn zhèng
authorisation	授权	shòu quán
least-privilege	最小权限	zuì xiǎo quán xiàn
plaintext	明文	míng wén
ciphertext	密文	mì wén
symmetric encryption	对称加密	duì chèn jiā mì
asymmetric encryption	非对称加密	fēi duì chèn jiā mì
public key	公钥	gōng yào
private key	私钥	sī yào
access control	访问控制	fǎng wèn kòng zhì
validation	验证	yàn zhèng
check digit	校验位	jiào yàn wèi
verification	核对	hé duì
parity check	奇偶校验	jī ǒu jiào yàn
checksum	校验和	jiào yàn hé
cyclic redundancy check	循环冗余校验	xún huán rǒng yú jiào yàn
