english	简体中文	pinyin
computational thinking	计算思维	jì suàn sī wéi
abstraction	抽象	chōu xiàng
decomposition	分解	fēn jiě
algorithm	算法	suàn fǎ
unambiguous	无歧义	wú qí yì
deterministic	确定性	què dìng xìng
identifier table	标识符表	biāo shí fú biǎo
variable	变量	biàn liàng
data type	数据类型	shù jù lèi xíng
pseudocode	伪代码	wěi dài mǎ
sequence	顺序	shùn xù
selection	选择	xuǎn zé
iteration	迭代	dié dài
loop	循环	xún huán
assignment	赋值	fù zhí
concatenation	拼接	pīn jiē
structured English	结构化英语	jié gòu huà yīng yǔ
flowchart	流程图	liú chéng tú
stepwise refinement	逐步求精	zhú bù qiú jīng
logic statement	逻辑语句	luó jí yǔ jù
Boolean	布尔	bù ěr
precedence	优先级	yōu xiān jí
De Morgan's law	德摩根定律	dé mó gēn dìng lǜ
