english	简体中文	pinyin
ethics	伦理	lún lǐ
confidentiality	保密性	bǎo mì xìng
conflicts of interest	利益冲突	lì yì chōng tū
intellectual property	知识产权	zhī shí chǎn quán
privacy	隐私	yǐn sī
copyright	版权	bǎn quán
patent	专利	zhuān lì
software licence	软件许可证	ruǎn jiàn xǔ kě zhèng
proprietary	专有	zhuān yǒu
open-source	开源	kāi yuán
copyleft	著佐权	zhù zuǒ quán
freeware	免费软件	miǎn fèi ruǎn jiàn
shareware	共享软件	gòng xiǎng ruǎn jiàn
artificial intelligence	人工智能	rén gōng zhì néng
machine learning	机器学习	jī qì xué xí
deep learning	深度学习	shēn dù xué xí
neural networks	神经网络	shén jīng wǎng luò
speech recognition	语音识别	yǔ yīn shí bié
image recognition	图像识别	tú xiàng shí bié
machine translation	机器翻译	jī qì fān yì
recommendation systems	推荐系统	tuī jiàn xì tǒng
autonomous vehicles	自动驾驶汽车	zì dòng jià shǐ qì chē
optical character recognition	光学字符识别	guāng xué zì fú shí bié
text-to-speech	文本转语音	wén běn zhuǎn yǔ yīn
bias	偏见	piān jiàn
