english	简体中文	pinyin
species	物种	wù zhǒng
classification	分类	fēn lèi
domain	域	yù
Archaea	古菌	gǔ jūn
Bacteria	细菌	xì jūn
prokaryote	原核生物	yuán hé shēng wù
cell wall	细胞壁	xì bāo bì
Eukarya	真核生物	zhēn hé shēng wù
taxonomic hierarchy	分类层级	fēn lèi céng jí
kingdom	界	jiè
phylum	门	mén
class	纲	gāng
order	目	mù
family	科	kē
genus	属	shǔ
Protoctista	原生生物界	yuán shēng shēng wù jiè
Fungi	真菌界	zhēn jùn jiè
Plantae	植物界	zhí wù jiè
Animalia	动物界	dòng wù jiè
nucleic acid	核酸	hé suān
single-stranded	单链	dān liàn
double-stranded	双链	shuāng liàn
ecosystem	生态系统	shēng tài xì tǒng
niche	生态位	shēng tài wèi
biodiversity	生物多样性	shēng wù duō yàng xìng
habitat	栖息地	qī xī dì
abundance	丰度	fēng dù
random sampling	随机取样	suí jī qǔ yàng
quadrat	样方	yàng fāng
transect	样带	yàng dài
mark-release-recapture	标志重捕法	biāo zhì zhòng bǔ fǎ
biotic factor	生物因素	shēng wù yīn sù
abiotic factor	非生物因素	fēi shēng wù yīn sù
correlation	相关性	xiāng guān xìng
Simpson's index of diversity	辛普森多样性指数	xīn pǔ sēn duō yàng xìng zhǐ shù
extinct	灭绝	miè jué
climate change	气候变化	qì hòu biàn huà
zoo	动物园	dòng wù yuán
botanic garden	植物园	zhí wù yuán
endangered species	濒危物种	bīn wēi wù zhǒng
conservation	保护	bǎo hù
seed bank	种子库	zhǒng zi kù
in vitro fertilisation	体外受精	tǐ wài shòu jīng
embryo transfer	胚胎移植	pēi tāi yí zhí
surrogacy	代孕	dài yùn
invasive species	入侵物种	rù qīn wù zhǒng
