english	简体中文	pinyin
energy	能量	néng liàng
respiration	呼吸作用	hū xī zuò yòng
active transport	主动运输	zhǔ dòng yùn shū
anabolic	合成代谢	hé chéng dài xiè
phosphorylation	磷酸化	lín suān huà
chemiosmosis	化学渗透	huà xué shèn tòu
mitochondria	线粒体	xiàn lì tǐ
respiratory substrate	呼吸底物	hū xī dǐ wù
respiratory quotient	呼吸商	hū xī shāng
respirometer	呼吸计	hū xī jì
oxygen	氧气	yǎng qì
germinate	萌发	méng fā
invertebrate	无脊椎动物	wú jǐ zhuī dòng wù
aerobic	有氧	yǒu yǎng
glycolysis	糖酵解	táng jiào jiě
cytoplasm	细胞质	xì bāo zhì
link reaction	连接反应	lián jiē fǎn yìng
matrix	基质	jī zhì
Krebs cycle	克雷布斯循环	kè léi bù sī xún huán
oxidative phosphorylation	氧化磷酸化	yǎng huà lín suān huà
glucose	葡萄糖	pú táo táng
oxidise	氧化	yǎng huà
pyruvate	丙酮酸	bǐng tóng suān
reduce	还原	huán yuán
coenzyme	辅酶	fǔ méi
carbon dioxide	二氧化碳	èr yǎng huà tàn
acetyl	乙酰基	yǐ xiān jī
coenzyme A	辅酶A	fǔ méi A
oxaloacetate	草酰乙酸	cǎo xiān yǐ suān
citrate	柠檬酸	níng méng suān
decarboxylation	脱羧	tuō suō
dehydrogenation	脱氢	tuō qīng
electron	电子	diàn zi
electron transport chain	电子传递链	diàn zi chuán dì liàn
proton	质子	zhì zi
ATP synthase	合酶	hé méi
cristae	嵴	jǐ
fermentation	发酵	fā jiào
lactate	乳酸	rǔ suān
yeast	酵母	jiào mǔ
ethanol	乙醇	yǐ chún
anaerobic	无氧	wú yǎng
aerenchyma	通气组织	tōng qì zǔ zhī
indicator	指示剂	zhǐ shì jì
