english	简体中文	pinyin
cell surface membrane	细胞膜	xì bāo mó
fluid mosaic model	流动镶嵌模型	liú dòng xiāng qiàn mó xíng
phospholipid	磷脂	lín zhī
hydrophilic	亲水	qīn shuǐ
hydrophobic	疏水	shū shuǐ
bilayer	双层	shuāng céng
protein	蛋白质	dàn bái zhì
carrier protein	载体蛋白	zài tǐ dàn bái
channel protein	通道蛋白	tōng dào dàn bái
cholesterol	胆固醇	dǎn gù chún
fluidity	流动性	liú dòng xìng
glycolipid	糖脂	táng zhī
glycoprotein	糖蛋白	táng dàn bái
antigen	抗原	kàng yuán
stability	稳定性	wěn dìng xìng
permeability	通透性	tōng tòu xìng
partially permeable membrane	半透膜	bàn tòu mó
cell signalling	细胞信号传递	xì bāo xìn hào chuán dì
ligand	配体	pèi tǐ
hormone	激素	jī sù
target cell	靶细胞	bǎ xì bāo
receptor	受体	shòu tǐ
passive	被动	bèi dòng
energy	能量	néng liàng
diffusion	扩散	kuò sàn
concentration	浓度	nóng dù
simple diffusion	简单扩散	jiǎn dān kuò sàn
concentration gradient	浓度梯度	nóng dù tī dù
oxygen	氧气	yǎng qì
carbon dioxide	二氧化碳	èr yǎng huà tàn
ion	离子	lí zi
glucose	葡萄糖	pú táo táng
facilitated diffusion	易化扩散	yì huà kuò sàn
osmosis	渗透	shèn tòu
water potential	水势	shuǐ shì
active transport	主动运输	zhǔ dòng yùn shū
endocytosis	胞吞作用	bāo tūn zuò yòng
vesicle	囊泡	náng pào
exocytosis	胞吐作用	bāo tǔ zuò yòng
volume	体积	tǐ jī
surface area	表面积	biǎo miàn jī
agar	琼脂	qióng zhī
dialysis tubing	透析袋	tòu xī dài
solute	溶质	róng zhì
distilled water	蒸馏水	zhēng liú shuǐ
turgid	膨胀	péng zhàng
plasmolysis	质壁分离	zhì bì fēn lí
haemolysis	溶血	róng xuè
