english	简体中文	pinyin
gas exchange	气体交换	qì tǐ jiāo huàn
trachea	气管	qì guǎn
bronchus	支气管	zhī qì guǎn
bronchiole	细支气管	xì zhī qì guǎn
alveoli	肺泡	fèi pào
lungs	肺	fèi
capillary	毛细血管	máo xì xuè guǎn
cartilage	软骨	ruǎn gǔ
ciliated epithelium	纤毛上皮	xiān máo shàng pí
cilia	纤毛	xiān máo
mucus	黏液	nián yè
goblet cell	杯状细胞	bēi zhuàng xì bāo
mucous gland	黏液腺	nián yè xiàn
microbe	微生物	wēi shēng wù
smooth muscle	平滑肌	píng huá jī
elastic fibre	弹性纤维	tán xìng xiān wéi
squamous epithelium	扁平上皮	biǎn píng shàng pí
diffuse	扩散	kuò sàn
concentration gradient	浓度梯度	nóng dù tī dù
oxygen	氧气	yǎng qì
carbon dioxide	二氧化碳	èr yǎng huà tàn
