english	简体中文	pinyin
photosynthesis	光合作用	guāng hé zuò yòng
chloroplast	叶绿体	yè lǜ tǐ
thylakoid	类囊体	lèi náng tǐ
grana	基粒	jī lì
stroma	基质	jī zhì
light-dependent stage	光反应阶段	guāng fǎn yìng jiē duàn
reduce	还原	huán yuán
light-independent stage	暗反应阶段	àn fǎn yìng jiē duàn
Calvin cycle	卡尔文循环	kǎ ěr wén xún huán
carbon dioxide	二氧化碳	èr yǎng huà tàn
pigment	色素	sè sù
chlorophyll	叶绿素	yè lǜ sù
carotene	胡萝卜素	hú luó bo sù
xanthophyll	叶黄素	yè huáng sù
absorption spectrum	吸收光谱	xī shōu guāng pǔ
action spectrum	作用光谱	zuò yòng guāng pǔ
chromatography	色谱法	sè pǔ fǎ
Rf value	比移值	bǐ yí zhí
photophosphorylation	光合磷酸化	guāng hé lín suān huà
cyclic photophosphorylation	循环光合磷酸化	xún huán guāng hé lín suān huà
photosystem	光系统	guāng xì tǒng
photoactivation	光激活	guāng jī huó
electron	电子	diàn zi
non-cyclic photophosphorylation	非循环光合磷酸化	fēi xún huán guāng hé lín suān huà
oxygen-evolving complex	放氧复合体	fàng yǎng fù hé tǐ
photolysis	光解	guāng jiě
oxygen	氧气	yǎng qì
electron transport chain	电子传递链	diàn zi chuán dì liàn
proton	质子	zhì zi
ATP synthase	合酶	hé méi
fixation	固定	gù dìng
enzyme	酶	méi
regenerate	再生	zài shēng
amino acid	氨基酸	ān jī suān
carbohydrate	碳水化合物	tàn shuǐ huà hé wù
lipid	脂质	zhī zhì
limiting factor	限制因素	xiàn zhì yīn sù
light intensity	光照强度	guāng zhào qiáng dù
concentration	浓度	nóng dù
temperature	温度	wēn dù
indicator	指示剂	zhǐ shì jì
wavelength	波长	bō cháng
aquatic plant	水生植物	shuǐ shēng zhí wù
