english	简体中文	pinyin
chromosome	染色体	rǎn sè tǐ
protein	蛋白质	dàn bái zhì
histone	组蛋白	zǔ dàn bái
replication	复制	fù zhì
sister chromatids	姐妹染色单体	jiě mèi rǎn sè dān tǐ
centromere	着丝粒	zhe sī lì
telomere	端粒	duān lì
mitosis	有丝分裂	yǒu sī fēn liè
daughter cell	子细胞	zi xì bāo
gene	基因	jī yīn
multicellular	多细胞	duō xì bāo
organism	生物体	shēng wù tǐ
tissue	组织	zǔ zhī
asexual reproduction	无性生殖	wú xìng shēng zhí
cell cycle	细胞周期	xì bāo zhōu qī
interphase	间期	jiān qī
cytokinesis	胞质分裂	bāo zhì fēn liè
stem cell	干细胞	gàn xì bāo
differentiate	分化	fēn huà
tumour	肿瘤	zhǒng liú
prophase	前期	qián qī
nuclear envelope	核膜	hé mó
spindle	纺锤体	fǎng chuí tǐ
metaphase	中期	zhōng qī
equator	赤道	chì dào
anaphase	后期	hòu qī
telophase	末期	mò qī
