english	简体中文	pinyin
infectious disease	传染病	chuán rǎn bìng
pathogen	病原体	bìng yuán tǐ
transmit	传播	chuán bō
cholera	霍乱	huò luàn
bacterium	细菌	xì jūn
contaminated	污染	wū rǎn
faeces	粪便	fèn biàn
malaria	疟疾	nüè jí
protoctist	原生生物	yuán shēng shēng wù
mosquito	蚊子	wén zi
vector	媒介	méi jiè
tuberculosis	结核病	jié hé bìng
droplet	飞沫	fēi mò
virus	病毒	bìng dú
AIDS	艾滋病	ài zī bìng
immune system	免疫系统	miǎn yì xì tǒng
vaccine	疫苗	yì miáo
insecticide	杀虫剂	shā chóng jì
antibiotic	抗生素	kàng shēng sù
penicillin	青霉素	qīng méi sù
cell wall	细胞壁	xì bāo bì
mutation	突变	tū biàn
resistance	耐药性	nài yào xìng
