english	简体中文	pinyin
endocrine system	内分泌系统	nèi fēn mì xì tǒng
hormone	激素	jī sù
nervous system	神经系统	shén jīng xì tǒng
impulse	冲动	chōng dòng
neurone	神经元	shén jīng yuán
sensory neurone	感觉神经元	gǎn jué shén jīng yuán
motor neurone	运动神经元	yùn dòng shén jīng yuán
muscle	肌肉	jī ròu
intermediate neurone	中间神经元	zhōng jiān shén jīng yuán
sensory receptor	感受器	gǎn shòu qì
stimulus	刺激	cì jī
chemoreceptor	化学感受器	huà xué gǎn shòu qì
taste bud	味蕾	wèi lěi
action potential	动作电位	dòng zuò diàn wèi
resting potential	静息电位	jìng xī diàn wèi
membrane potential	膜电位	mó diàn wèi
refractory period	不应期	bù yīng qī
myelin sheath	髓鞘	suǐ qiào
saltatory conduction	跳跃式传导	tiào yuè shì chuán dǎo
synapse	突触	tū chù
cholinergic synapse	胆碱能突触	dǎn jiǎn néng tū chù
calcium ion	钙离子	gài lí zi
neurotransmitter	神经递质	shén jīng dì zhì
acetylcholine	乙酰胆碱	yǐ xiān dǎn jiǎn
neuromuscular junction	神经肌肉接头	shén jīng jī ròu jiē tóu
striated muscle	横纹肌	héng wén jī
sarcomere	肌节	jī jié
filament	肌丝	jī sī
T-tubule	T小管	T xiǎo guǎn
sarcoplasmic reticulum	肌质网	jī zhì wǎng
sliding filament model	肌丝滑动模型	jī sī huá dòng mó xíng
troponin	肌钙蛋白	jī gài dàn bái
tropomyosin	原肌球蛋白	yuán jī qiú dàn bái
Venus fly trap	捕蝇草	bǔ yíng cǎo
auxin	生长素	shēng zhǎng sù
elongation	伸长	shēn cháng
proton	质子	zhì zi
cell wall	细胞壁	xì bāo bì
acidify	酸化	suān huà
gibberellin	赤霉素	chì méi sù
germination	萌发	méng fā
barley	大麦	dà mài
