english	简体中文	pinyin
enzyme	酶	méi
globular protein	球状蛋白质	qiú zhuàng dàn bái zhì
protein	蛋白质	dàn bái zhì
catalyse	催化	cuī huà
intracellular	细胞内	xì bāo nèi
cell	细胞	xì bāo
catalase	过氧化氢酶	guò yǎng huà qīng méi
extracellular	细胞外	xì bāo wài
secrete	分泌	fēn mì
amylase	淀粉酶	diàn fěn méi
digest	消化	xiāo huà
starch	淀粉	diàn fěn
active site	活性位点	huó xìng wèi diǎn
substrate	底物	dǐ wù
enzyme–substrate complex	酶底物复合物	méi dǐ wù fù hé wù
product	产物	chǎn wù
complementary	互补	hù bǔ
specificity	专一性	zhuān yī xìng
lock-and-key hypothesis	锁钥学说	suǒ yuè xué shuō
induced-fit hypothesis	诱导契合学说	yòu dǎo qì hé xué shuō
activation energy	活化能	huó huà néng
temperature	温度	wēn dù
colorimeter	比色计	bǐ sè jì
rate of reaction	反应速率	fǎn yìng sù lǜ
kinetic energy	动能	dòng néng
collide	碰撞	pèng zhuàng
optimum temperature	最适温度	zuì shì wēn dù
denature	变性	biàn xìng
buffer solution	缓冲液	huǎn chōng yè
inhibitor	抑制剂	yì zhì jì
Michaelis–Menten constant	米氏常数	mǐ shì cháng shù
affinity	亲和力	qīn hé lì
reversible	可逆	kě nì
competitive inhibitor	竞争性抑制剂	jìng zhēng xìng yì zhì jì
non-competitive inhibitor	非竞争性抑制剂	fēi jìng zhēng xìng yì zhì jì
immobilised enzyme	固定化酶	gù dìng huà méi
alginate	海藻酸盐	hǎi zǎo suān yán
