english	简体中文	pinyin
recombinant	重组	chóng zǔ
genetic engineering	基因工程	jī yīn gōng chéng
gene	基因	jī yīn
protein	蛋白质	dàn bái zhì
donor	供体	gōng tǐ
reverse transcriptase	逆转录酶	nì zhuǎn lù méi
nucleotide	核苷酸	hé gān suān
restriction endonuclease	限制性内切酶	xiàn zhì xìng nèi qiè méi
ligase	连接酶	lián jiē méi
plasmid	质粒	zhì lì
cloning vector	载体	zài tǐ
polymerase	聚合酶	jù hé méi
promoter	启动子	qǐ dòng zi
marker gene	标记基因	biāo jì jī yīn
fluorescent	荧光	yíng guāng
gene editing	基因编辑	jī yīn biān jí
genome	基因组	jī yīn zǔ
polymerase chain reaction	聚合酶链式反应	jù hé méi liàn shì fǎn yìng
clone	克隆	kè lóng
amplify	扩增	kuò zēng
gel electrophoresis	凝胶电泳	níng jiāo diàn yǒng
fragment	片段	piàn duàn
microarray	微阵列	wēi zhèn liè
database	数据库	shù jù kù
amino acid	氨基酸	ān jī suān
insulin	胰岛素	yí dǎo sù
diabetes	糖尿病	táng niào bìng
genetic screening	基因筛查	jī yīn shāi chá
breast cancer	乳腺癌	rǔ xiàn ái
Huntington's disease	亨廷顿病	hēng tíng dùn bìng
cystic fibrosis	囊性纤维化	náng xìng xiān wéi huà
gene therapy	基因治疗	jī yīn zhì liáo
ethical	伦理	lún lǐ
genetically modified organism	转基因生物	zhuǎn jī yīn shēng wù
salmon	鲑鱼	guī yú
soybean	大豆	dà dòu
herbicide	除草剂	chú cǎo jì
cotton	棉花	mián huā
pest	害虫	hài chóng
