english	简体中文	pinyin
variation	变异	biàn yì
allele	等位基因	děng wèi jī yīn
environmental factor	环境因素	huán jìng yīn sù
discontinuous variation	不连续变异	bù lián xù biàn yì
gene	基因	jī yīn
continuous variation	连续变异	lián xù biàn yì
population	种群	zhǒng qún
offspring	后代	hòu dài
compete	竞争	jìng zhēng
adapted	适应	shì yìng
reproduce	繁殖	fán zhí
natural selection	自然选择	zì rán xuǎn zé
stabilising selection	稳定选择	wěn dìng xuǎn zé
directional selection	定向选择	dìng xiàng xuǎn zé
disruptive selection	分裂选择	fēn liè xuǎn zé
founder effect	奠基者效应	diàn jī zhě xiào yìng
genetic drift	遗传漂变	yí chuán piāo biàn
bottleneck effect	瓶颈效应	píng jǐng xiào yìng
mutation	突变	tū biàn
antibiotic	抗生素	kàng shēng sù
resistance	耐药性	nài yào xìng
Hardy–Weinberg principle	哈迪-温伯格原理	hā dí - wēn bó gé yuán lǐ
allele frequency	等位基因频率	děng wèi jī yīn pín lǜ
genotype	基因型	jī yīn xíng
selective breeding	选择育种	xuǎn zé yù zhǒng
artificial selection	人工选择	rén gōng xuǎn zé
disease resistance	抗病性	kàng bìng xìng
inbreeding	近交	jìn jiāo
hybridisation	杂交	zá jiāo
yield	产量	chǎn liàng
evolution	进化	jìn huà
species	物种	wù zhǒng
gene pool	基因库	jī yīn kù
sequence	序列	xù liè
speciation	物种形成	wù zhǒng xíng chéng
isolation	隔离	gé lí
allopatric speciation	异域物种形成	yì yù wù zhǒng xíng chéng
geographical separation	地理隔离	dì lǐ gé lí
sympatric speciation	同域物种形成	tóng yù wù zhǒng xíng chéng
