english	简体中文	pinyin
nucleic acid	核酸	hé suān
nucleotide	核苷酸	hé gān suān
phosphate	磷酸	lín suān
base	碱基	jiǎn jī
adenine	腺嘌呤	xiàn piào líng
ribose	核糖	hé táng
energy	能量	néng liàng
purine	嘌呤	piào líng
guanine	鸟嘌呤	niǎo piào líng
pyrimidine	嘧啶	mì dìng
cytosine	胞嘧啶	bāo mì dìng
thymine	胸腺嘧啶	xiōng xiàn mì dìng
uracil	尿嘧啶	niào mì dìng
double helix	双螺旋	shuāng luó xuán
strand	链	liàn
deoxyribose	脱氧核糖	tuō yǎng hé táng
phosphodiester bond	磷酸二酯键	lín suān èr zhǐ jiàn
complementary base pairing	碱基互补配对	jiǎn jī hù bǔ pèi duì
hydrogen bond	氢键	qīng jiàn
base pair	碱基对	jiǎn jī duì
antiparallel	反平行	fǎn píng xíng
replication	复制	fù zhì
semi-conservative replication	半保留复制	bàn bǎo liú fù zhì
enzyme	酶	méi
polymerase	聚合酶	jù hé méi
leading strand	前导链	qián dǎo liàn
lagging strand	后随链	hòu suí liàn
ligase	连接酶	lián jiē méi
gene	基因	jī yīn
polypeptide	多肽	duō tài
triplet	三联体	sān lián tǐ
amino acid	氨基酸	ān jī suān
codon	密码子	mì mǎ zi
transcription	转录	zhuǎn lù
template strand	模板链	mú bǎn liàn
non-transcribed strand	非转录链	fēi zhuǎn lù liàn
primary transcript	初级转录本	chū jí zhuǎn lù běn
exon	外显子	wài xiǎn zi
intron	内含子	nèi hán zi
ribosome	核糖体	hé táng tǐ
translation	翻译	fān yì
anticodon	反密码子	fǎn mì mǎ zi
peptide bond	肽键	tài jiàn
mutation	突变	tū biàn
substitution	替换	tì huàn
deletion	缺失	quē shī
insertion	插入	chā rù
