english	简体中文	pinyin
tissue	组织	zǔ zhī
xylem	木质部	mù zhì bù
mineral ion	矿物离子	kuàng wù lí zi
phloem	韧皮部	rèn pí bù
assimilate	同化物	tóng huà wù
transverse section	横切面	héng qiē miàn
dicotyledonous plant	双子叶植物	shuāng zǐ yè zhí wù
vessel	导管	dǎo guǎn
lignin	木质素	mù zhì sù
sieve tube	筛管	shāi guǎn
sieve plate	筛板	shāi bǎn
companion cell	伴胞	bàn bāo
nucleus	细胞核	xì bāo hé
mitochondria	线粒体	xiàn lì tǐ
root hair cell	根毛细胞	gēn máo xì bāo
osmosis	渗透	shèn tòu
apoplast pathway	质外体途径	zhì wài tǐ tú jìng
cell wall	细胞壁	xì bāo bì
cellulose	纤维素	xiān wéi sù
symplast pathway	共质体途径	gòng zhì tǐ tú jìng
plasmodesmata	胞间连丝	bāo jiān lián sī
endodermis	内皮层	nèi pí céng
Casparian strip	凯氏带	kǎi shì dài
suberin	木栓质	mù shuān zhì
transpiration	蒸腾作用	zhēng téng zuò yòng
evaporation	蒸发	zhēng fā
water vapour	水蒸气	shuǐ zhēng qì
diffuse	扩散	kuò sàn
stomata	气孔	qì kǒng
atmosphere	大气	dà qì
hydrogen bond	氢键	qīng jiàn
cohesion	内聚力	nèi jù lì
tension	张力	zhāng lì
adhesion	附着力	fù zhuó lì
xerophyte	旱生植物	hàn shēng zhí wù
adapted	适应	shì yìng
cuticle	角质层	jiǎo zhì céng
sucrose	蔗糖	zhè táng
amino acid	氨基酸	ān jī suān
source	源	yuán
sink	库	kù
proton pump	质子泵	zhì zi bèng
cotransporter protein	协同运输蛋白	xié tóng yùn shū dàn bái
active transport	主动运输	zhǔ dòng yùn shū
water potential	水势	shuǐ shì
hydrostatic pressure	静水压	jìng shuǐ yā
mass flow	集流	jí liú
