english	简体中文	pinyin
xylem	木质部	mù zhì bù
mineral ions	矿物质离子	kuàng wù zhì lí zi
support	支撑	zhī chēng
phloem	韧皮部	rèn pí bù
sucrose	蔗糖	zhè táng
amino acids	氨基酸	ān jī suān
vascular bundles	维管束	wéi guǎn shù
vessels	导管	dǎo guǎn
lignin	木质素	mù zhì sù
root hair cells	根毛细胞	gēn máo xì bāo
root hairs	根毛	gēn máo
surface area	表面积	biǎo miàn jī
cortex	皮层	pí céng
mesophyll	叶肉	yè ròu
stain	染色剂	rǎn sè jì
transpiration	蒸腾作用	zhēng téng zuò yòng
water vapour	水蒸气	shuǐ zhēng qì
evaporates	蒸发	zhēng fā
air spaces	气腔	qì qiāng
diffuses	扩散	kuò sàn
stomata	气孔	qì kǒng
temperature	温度	wēn dù
wind speed	风速	fēng sù
humidity	湿度	shī dù
transpiration pull	蒸腾拉力	zhēng téng lā lì
forces of attraction	吸引力	xī yǐn lì
column	水柱	shuǐ zhù
wilts	萎蔫	wēi niān
translocation	转运	zhuǎn yùn
sources	源	yuán
sinks	库	kù
