english	简体中文	pinyin
photosynthesis	光合作用	guāng hé zuò yòng
carbohydrates	碳水化合物	tàn shuǐ huà hé wù
raw materials	原料	yuán liào
energy	能量	néng liàng
carbon dioxide	二氧化碳	èr yǎng huà tàn
glucose	葡萄糖	pú táo táng
oxygen	氧气	yǎng qì
chlorophyll	叶绿素	yè lǜ sù
pigment	色素	sè sù
chloroplasts	叶绿体	yè lǜ tǐ
starch	淀粉	diàn fěn
cellulose	纤维素	xiān wéi sù
cell walls	细胞壁	xì bāo bì
respiration	呼吸作用	hū xī zuò yòng
sucrose	蔗糖	zhè táng
phloem	韧皮部	rèn pí bù
nectar	花蜜	huā mì
insects	昆虫	kūn chóng
pollination	传粉	chuán fěn
ions	离子	lí zi
nitrate ions	硝酸根离子	xiāo suān gēn lí zi
amino acids	氨基酸	ān jī suān
magnesium ions	镁离子	měi lí zi
rate	速率	sù lǜ
light intensity	光照强度	guāng zhào qiáng dù
concentration	浓度	nóng dù
temperature	温度	wēn dù
limiting factor	限制因素	xiàn zhì yīn sù
control	对照	duì zhào
gas exchange	气体交换	qì tǐ jiāo huàn
indicator	指示剂	zhǐ shì jì
adapted	适应	shì yìng
surface area	表面积	biǎo miàn jī
cuticle	角质层	jiǎo zhì céng
epidermis	表皮	biǎo pí
mesophyll	叶肉	yè ròu
palisade mesophyll	栅栏叶肉	zhà lán yè ròu
spongy mesophyll	海绵叶肉	hǎi mián yè ròu
air spaces	气腔	qì qiāng
stomata	气孔	qì kǒng
guard cells	保卫细胞	bǎo wèi xì bāo
vascular bundles	维管束	wéi guǎn shù
xylem	木质部	mù zhì bù
