english	简体中文	pinyin
biotechnology	生物技术	shēng wù jì shù
enzymes	酶	méi
bacteria	细菌	xì jūn
rate	速率	sù lǜ
molecules	分子	fèn zǐ
ethical	伦理	lún lǐ
plasmids	质粒	zhì lì
yeast	酵母	jiào mǔ
anaerobic respiration	无氧呼吸	wú yǎng hū xī
ethanol	乙醇	yǐ chún
biofuel	生物燃料	shēng wù rán liào
pectinase	果胶酶	guǒ jiāo méi
washing powders	洗衣粉	xǐ yī fěn
lactase	乳糖酶	rǔ táng méi
lactose	乳糖	rǔ táng
fermenter	发酵罐	fā jiào guàn
insulin	胰岛素	yí dǎo sù
penicillin	青霉素	qīng méi sù
mycoprotein	真菌蛋白	zhēn jūn dàn bái
temperature	温度	wēn dù
oxygen	氧气	yǎng qì
genetic modification	基因改造	jī yīn gǎi zào
genetic material	遗传物质	yí chuán wù zhì
genes	基因	jī yīn
protein	蛋白质	dàn bái zhì
restriction enzymes	限制酶	xiàn zhì méi
sticky ends	黏性末端	nián xìng mò duān
ligase	连接酶	lián jiē méi
recombinant plasmid	重组质粒	chóng zǔ zhì lì
express	表达	biǎo dá
crop plants	农作物	nóng zuò wù
resistance	抗性	kàng xìng
herbicides	除草剂	chú cǎo jì
