english	简体中文	pinyin
chromosomes	染色体	rǎn sè tǐ
genes	基因	jī yīn
codes	编码	biān mǎ
proteins	蛋白质	dàn bái zhì
allele	等位基因	děng wèi jī yīn
sex chromosomes	性染色体	xìng rǎn sè tǐ
ratio	比例	bǐ lì
base sequence	碱基序列	jiǎn jī xù liè
amino acids	氨基酸	ān jī suān
enzymes	酶	méi
receptor proteins	受体蛋白	shòu tǐ dàn bái
neurotransmitters	神经递质	shén jīng dì zhì
expresses	表达	biǎo dá
nucleus	细胞核	xì bāo hé
cytoplasm	细胞质	xì bāo zhì
messenger	信使	xìn shǐ
ribosome	核糖体	hé táng tǐ
bases	碱基	jiǎn jī
division	分裂	fēn liè
diploid	二倍体	èr bèi tǐ
haploid	单倍体	dān bèi tǐ
mitosis	有丝分裂	yǒu sī fēn liè
replication	复制	fù zhì
daughter cell	子细胞	zi xì bāo
asexual reproduction	无性生殖	wú xìng shēng zhí
stem cells	干细胞	gàn xì bāo
meiosis	减数分裂	jiǎn shù fēn liè
gametes	配子	pèi zi
inheritance	遗传	yí chuán
genotype	基因型	jī yīn xíng
phenotype	表现型	biǎo xiàn xíng
dominant	显性	xiǎn xìng
recessive	隐性	yǐn xìng
homozygous	纯合子	chún hé zǐ
pure-breeding	纯种	chún zhǒng
heterozygous	杂合子	zá hé zǐ
cross	杂交	zá jiāo
Punnett square	庞纳特方格	páng nà tè fāng gé
pedigree diagram	系谱图	xì pǔ tú
test cross	测交	cè jiāo
codominance	共显性	gòng xiǎn xìng
blood groups	血型	xuè xíng
sex-linked	伴性遗传	bàn xìng yí chuán
colour blindness	色盲	sè máng
