english	简体中文	pinyin
respiration	呼吸作用	hū xī zuò yòng
energy	能量	néng liàng
muscle	肌肉	jī ròu
protein synthesis	蛋白质合成	dàn bái zhì hé chéng
division	分裂	fēn liè
active transport	主动运输	zhǔ dòng yùn shū
nerve impulses	神经冲动	shén jīng chōng dòng
temperature	温度	wēn dù
yeast	酵母	jiào mǔ
carbon dioxide	二氧化碳	èr yǎng huà tàn
aerobic respiration	有氧呼吸	yǒu yǎng hū xī
oxygen	氧气	yǎng qì
nutrient molecules	营养物质	yíng yǎng wù zhì
glucose	葡萄糖	pú táo táng
anaerobic respiration	无氧呼吸	wú yǎng hū xī
alcohol	酒精	jiǔ jīng
lactic acid	乳酸	rǔ suān
oxygen debt	氧债	yǎng zhài
heart rate	心率	xīn lǜ
liver	肝脏	gān zàng
