english	简体中文	pinyin
characteristics	特征	tè zhēng
life processes	生命过程	shēng mìng guò chéng
organisms	生物体	shēng wù tǐ
movement	运动	yùn dòng
respiration	呼吸作用	hū xī zuò yòng
cells	细胞	xì bāo
nutrient molecules	营养物质	yíng yǎng wù zhì
energy	能量	néng liàng
metabolism	新陈代谢	xīn chén dài xiè
sensitivity	应激性	yīng jī xìng
environment	环境	huán jìng
growth	生长	shēng zhǎng
dry mass	干重	gàn zhòng
reproduction	生殖	shēng zhí
excretion	排泄	pái xiè
waste products	废物	fèi wù
nutrition	营养	yíng yǎng
classify	分类	fēn lèi
species	物种	wù zhǒng
fertile offspring	可育后代	kě yù hòu dài
scientific name	学名	xué míng
binomial system	双名法	shuāng míng fǎ
genus	属	shǔ
dichotomous key	二歧检索表	èr qí jiǎn suǒ biǎo
evolutionary relationships	进化关系	jìn huà guān xì
ancestor	祖先	zǔ xiān
base sequence	碱基序列	jiǎn jī xù liè
genes	基因	jī yīn
kingdoms	界	jiè
animal	动物	dòng wù
cell wall	细胞壁	xì bāo bì
plant	植物	zhí wù
photosynthesis	光合作用	guāng hé zuò yòng
chloroplasts	叶绿体	yè lǜ tǐ
fungus	真菌	zhēn jūn
moulds	霉菌	méi jūn
mushrooms	蘑菇	mó gū
yeast	酵母	jiào mǔ
prokaryote	原核生物	yuán hé shēng wù
bacteria	细菌	xì jūn
single-celled	单细胞	dān xì bāo
nucleus	细胞核	xì bāo hé
protoctist	原生生物	yuán shēng shēng wù
algae	藻类	zǎo lèi
vertebrates	脊椎动物	jǐ zhuī dòng wù
backbone	脊柱	jí zhù
mammals	哺乳动物	bǔ rǔ dòng wù
fur	毛发	máo fà
birds	鸟类	niǎo lèi
feathers	羽毛	yǔ máo
beak	喙	huì
reptiles	爬行动物	pá xíng dòng wù
scales	鳞片	lín piàn
amphibians	两栖动物	liǎng qī dòng wù
fish	鱼类	yú lèi
fins	鳍	qí
gills	鳃	sāi
arthropods	节肢动物	jié zhī dòng wù
exoskeleton	外骨骼	wài gǔ gé
joints	关节	guān jié
insects	昆虫	kūn chóng
antennae	触角	chù jiǎo
arachnids	蛛形类	zhū xíng lèi
crustaceans	甲壳类	jiǎ qiào lèi
myriapods	多足类	duō zú lèi
segments	体节	tǐ jié
ferns	蕨类植物	jué lèi zhí wù
spores	孢子	bāo zǐ
flowering plants	开花植物	kāi huā zhí wù
seeds	种子	zhǒng zi
cotyledons	子叶	zǐ yè
monocotyledons	单子叶植物	dān zi yè zhí wù
leaf veins	叶脉	yè mài
dicotyledons	双子叶植物	shuāng zǐ yè zhí wù
viruses	病毒	bìng dú
protein coat	蛋白质外壳	dàn bái zhì wài ké
genetic material	遗传物质	yí chuán wù zhì
host	宿主	sù zhǔ
digestion	消化	xiāo huà
