english	简体中文	pinyin
excretion	排泄	pái xiè
carbon dioxide	二氧化碳	èr yǎng huà tàn
urea	尿素	niào sù
liver	肝脏	gān zàng
ions	离子	lí zi
kidneys	肾脏	shèn zàng
urine	尿液	niào yè
ureters	输尿管	shū niào guǎn
bladder	膀胱	páng guāng
urethra	尿道	niào dào
renal cortex	皮质	pí zhì
medulla	髓质	suǐ zhì
nephrons	肾单位	shèn dān wèi
filtration	过滤	guò lǜ
glomerulus	肾小球	shèn xiǎo qiú
glucose	葡萄糖	pú táo táng
reabsorption	重吸收	zhòng xī shōu
assimilation	同化	tóng huà
amino acids	氨基酸	ān jī suān
proteins	蛋白质	dàn bái zhì
deamination	脱氨基作用	tuō ān jī zuò yòng
nitrogen	氮	dàn
toxic	有毒	yǒu dú
