english	简体中文	pinyin
molecule	分子	fèn zǐ
elements	元素	yuán sù
carbohydrates	碳水化合物	tàn shuǐ huà hé wù
fats	脂肪	zhī fáng
carbon	碳	tàn
hydrogen	氢	qīng
proteins	蛋白质	dàn bái zhì
nitrogen	氮	dàn
starch	淀粉	diàn fěn
glycogen	糖原	táng yuán
cellulose	纤维素	xiān wéi sù
glucose	葡萄糖	pú táo táng
amino acids	氨基酸	ān jī suān
fatty acids	脂肪酸	zhī fáng suān
glycerol	甘油	gān yóu
iodine solution	碘液	diǎn yè
reducing sugars	还原糖	huán yuán táng
Benedict's solution	本尼迪特试剂	běn ní dí tè shì jì
biuret	双缩脲	shuāng suō niào
ethanol	乙醇	yǐ chún
emulsion	乳浊液	rǔ zhuó yè
vitamin	维生素	wéi shēng sù
genetic material	遗传物质	yí chuán wù zhì
strands	链	liàn
double helix	双螺旋	shuāng luó xuán
bases	碱基	jiǎn jī
bonds	化学键	huà xué jiàn
