english	简体中文	pinyin
variation	变异	biàn yì
species	物种	wù zhǒng
continuous variation	连续变异	lián xù biàn yì
phenotypes	表现型	biǎo xiàn xíng
discontinuous variation	不连续变异	bù lián xù biàn yì
ABO blood groups	血型	xuè xíng
genes	基因	jī yīn
environment	环境	huán jìng
mutation	突变	tū biàn
alleles	等位基因	děng wèi jī yīn
gene mutation	基因突变	jī yīn tū biàn
base sequence	碱基序列	jiǎn jī xù liè
ionising radiation	电离辐射	diàn lí fú shè
rate	速率	sù lǜ
meiosis	减数分裂	jiǎn shù fēn liè
fertilisation	受精	shòu jīng
adaptive feature	适应特征	shì yìng tè zhēng
inherited	遗传	yí chuán
survive	生存	shēng cún
reproduce	生殖	shēng zhí
hydrophytes	水生植物	shuǐ shēng zhí wù
xerophytes	旱生植物	hàn shēng zhí wù
natural selection	自然选择	zì rán xuǎn zé
many offspring	后代	hòu dài
competition	竞争	jìng zhēng
resources	资源	zī yuán
adapted	适应	shì yìng
antibiotic	抗生素	kàng shēng sù
bacteria	细菌	xì jūn
resistant	耐药	nài yào
selective breeding	选择育种	xuǎn zé yù zhǒng
artificial selection	人工选择	rén gōng xuǎn zé
crops	农作物	nóng zuò wù
