english	简体中文	pinyin
coordinate	协调	xié tiáo
nervous system	神经系统	shén jīng xì tǒng
electrical impulses	电脉冲	diàn mài chōng
neurones	神经元	shén jīng yuán
central nervous system	中枢神经系统	zhōng shū shén jīng xì tǒng
brain	大脑	dà nǎo
spinal cord	脊髓	jí suǐ
peripheral nervous system	周围神经系统	zhōu wéi shén jīng xì tǒng
regulates	调节	tiáo jié
sensory neurones	感觉神经元	gǎn jué shén jīng yuán
relay neurones	中间神经元	zhōng jiān shén jīng yuán
motor neurones	运动神经元	yùn dòng shén jīng yuán
reflex	反射	fǎn shè
response	反应	fǎn yìng
stimulus	刺激	cì jī
reflex arc	反射弧	fǎn shè hú
receptor	感受器	gǎn shòu qì
effector	效应器	xiào yìng qì
muscle	肌肉	jī ròu
gland	腺体	xiàn tǐ
synapse	突触	tū chù
vesicles	囊泡	náng pào
neurotransmitter	神经递质	shén jīng dì zhì
synaptic gap	突触间隙	tū chù jiàn xì
receptor proteins	受体蛋白	shòu tǐ dàn bái
diffuse	扩散	kuò sàn
sense organs	感觉器官	gǎn jué qì guān
cornea	角膜	jiǎo mó
refracts	折射	zhé shè
iris	虹膜	hóng mó
pupil	瞳孔	tóng kǒng
lens	晶状体	jīng zhuàng tǐ
retina	视网膜	shì wǎng mó
optic nerve	视神经	shì shén jīng
blind spot	盲点	máng diǎn
antagonistic	拮抗	jié kàng
circular muscles	环肌	huán jī
radial muscles	辐射肌	fú shè jī
accommodation	视觉调节	shì jué tiáo jié
ciliary muscles	睫状肌	jié zhuàng jī
suspensory ligaments	悬韧带	xuán rèn dài
rods	视杆细胞	shì gān xì bāo
vision	视觉	shì jué
cones	视锥细胞	shì zhuī xì bāo
fovea	中央凹	zhōng yāng āo
hormone	激素	jī sù
target organs	靶器官	bǎ qì guān
endocrine glands	内分泌腺	nèi fēn mì xiàn
adrenal glands	肾上腺	shèn shàng xiàn
adrenaline	肾上腺素	shèn shàng xiàn sù
pancreas	胰腺	yí xiàn
insulin	胰岛素	yí dǎo sù
glucagon	胰高血糖素	yí gāo xuè táng sù
glucose	葡萄糖	pú táo táng
testes	睾丸	gāo wán
testosterone	睾酮	gāo tóng
ovaries	卵巢	luǎn cháo
oestrogen	雌激素	cí jī sù
heart rate	心率	xīn lǜ
concentration	浓度	nóng dù
duration	持续时间	chí xù shí jiān
homeostasis	稳态	wěn tài
environment	环境	huán jìng
negative feedback	负反馈	fù fǎn kuì
set point	设定点	shè dìng diǎn
liver	肝脏	gān zàng
glycogen	糖原	táng yuán
diabetes	糖尿病	táng niào bìng
temperature	温度	wēn dù
sweat glands	汗腺	hàn xiàn
sweating	出汗	chū hàn
hair erector muscles	立毛肌	lì máo jī
blood vessels	血管	xuè guǎn
fatty tissue	脂肪组织	zhī fáng zǔ zhī
insulation	隔热	gé rè
arterioles	小动脉	xiǎo dòng mài
vasodilation	血管舒张	xuè guǎn shū zhāng
capillaries	毛细血管	máo xì xuè guǎn
shiver	颤抖	chàn dǒu
vasoconstriction	血管收缩	xuè guǎn shōu suō
tropism	向性	xiàng xìng
gravitropism	向地性	xiàng dì xìng
gravity	重力	zhòng lì
phototropism	向光性	xiàng guāng xìng
auxin	生长素	shēng zhǎng sù
shoot	嫩枝	nèn zhī
elongate	伸长	shēn cháng
