english	简体中文	pinyin
balanced diet	均衡饮食	jūn héng yǐn shí
carbohydrates	碳水化合物	tàn shuǐ huà hé wù
energy	能量	néng liàng
fats	脂肪	zhī fáng
proteins	蛋白质	dàn bái zhì
vitamin	维生素	wéi shēng sù
calcium	钙	gài
mineral ions	矿物质离子	kuàng wù zhì lí zi
iron	铁	tiě
red blood cells	红细胞	hóng xì bāo
fibre	膳食纤维	shàn shí xiān wéi
scurvy	坏血病	huài xuè bìng
rickets	佝偻病	gōu lóu bìng
digestive system	消化系统	xiāo huà xì tǒng
alimentary canal	消化道	xiāo huà dào
oesophagus	食道	shí dào
stomach	胃	wèi
small intestine	小肠	xiǎo cháng
duodenum	十二指肠	shí èr zhǐ cháng
ileum	回肠	huí cháng
large intestine	大肠	dà cháng
colon	结肠	jié cháng
rectum	直肠	zhí cháng
anus	肛门	gāng mén
salivary glands	唾液腺	tuò yè xiàn
pancreas	胰腺	yí xiàn
liver	肝脏	gān zàng
gall bladder	胆囊	dǎn náng
ingestion	摄入	shè rù
digestion	消化	xiāo huà
nutrients	营养物质	yíng yǎng wù zhì
absorption	吸收	xī shōu
assimilation	同化	tóng huà
egestion	排遗	pái yí
faeces	粪便	fèn biàn
surface area	表面积	biǎo miàn jī
enzymes	酶	méi
teeth	牙齿	yá chǐ
incisors	门齿	mén chǐ
canines	犬齿	quǎn chǐ
premolars	前臼齿	qián jiù chǐ
molars	臼齿	jiù chǐ
enamel	牙釉质	yá yòu zhì
dentine	牙本质	yá běn zhì
pulp	牙髓	yá suǐ
nerves	神经	shén jīng
blood vessels	血管	xuè guǎn
cement	牙骨质	yá gǔ zhì
gums	牙龈	yá yín
muscle	肌肉	jī ròu
bile	胆汁	dǎn zhī
emulsifies	乳化	rǔ huà
lipase	脂肪酶	zhī fáng méi
insoluble	不溶性	bù róng xìng
soluble	可溶性	kě róng xìng
amylase	淀粉酶	diàn fěn méi
starch	淀粉	diàn fěn
reducing sugars	还原糖	huán yuán táng
protease	蛋白酶	dàn bái méi
amino acids	氨基酸	ān jī suān
fatty acids	脂肪酸	zhī fáng suān
glycerol	甘油	gān yóu
hydrochloric acid	盐酸	yán suān
gastric juice	胃液	wèi yè
microorganisms	微生物	wēi shēng wù
acidic	酸性	suān xìng
maltose	麦芽糖	mài yá táng
maltase	麦芽糖酶	mài yá táng méi
epithelium	上皮	shàng pí
glucose	葡萄糖	pú táo táng
pepsin	胃蛋白酶	wèi dàn bái méi
trypsin	胰蛋白酶	yí dàn bái méi
alkaline	碱性	jiǎn xìng
neutralises	中和	zhōng hé
villi	绒毛	róng máo
microvilli	微绒毛	wēi róng máo
capillaries	毛细血管	máo xì xuè guǎn
lacteal	乳糜管	rǔ mí guǎn
