english	简体中文	pinyin
diffusion	扩散	kuò sàn
net movement	净移动	jìng yí dòng
particles	粒子	lì zi
concentration	浓度	nóng dù
concentration gradient	浓度梯度	nóng dù tī dù
random movement	随机运动	suí jī yùn dòng
energy	能量	néng liàng
kinetic energy	动能	dòng néng
molecules	分子	fèn zǐ
ions	离子	lí zi
cell membrane	细胞膜	xì bāo mó
gases	气体	qì tǐ
solutes	溶质	róng zhì
oxygen	氧气	yǎng qì
carbon dioxide	二氧化碳	èr yǎng huà tàn
surface area	表面积	biǎo miàn jī
temperature	温度	wēn dù
solvent	溶剂	róng jì
dissolve	溶解	róng jiě
solution	溶液	róng yè
digestion	消化	xiāo huà
excretion	排泄	pái xiè
transport	运输	yùn shū
osmosis	渗透	shèn tòu
partially permeable membrane	半透膜	bàn tòu mó
water potential	水势	shuǐ shì
turgid	膨胀	péng zhàng
turgor pressure	膨压	péng yā
flaccid	松软	sōng ruǎn
plasmolysis	质壁分离	zhì bì fēn lí
dialysis tubing	透析管	tòu xī guǎn
active transport	主动运输	zhǔ dòng yùn shū
respiration	呼吸作用	hū xī zuò yòng
root hairs	根毛	gēn máo
protein carriers	载体蛋白	zài tǐ dàn bái
